geometry,X,Y,School_Type,School_Name,Postal_Town
,145.27623,-37.9116,Primary,Lysterfield Primary School,ROWVILLE
,146.08134,-36.51633,Primary,Winton Primary School,WINTON
,145.12966,-36.36932,Primary,Merrigum Primary School,MERRIGUM
,147.09576,-36.12064,Primary,Bethanga Primary School,BETHANGA
,144.99881,-37.80898,Primary,Abbotsford Primary School,ABBOTSFORD
,144.3372,-38.14577,Primary,Newtown Primary School,NEWTOWN
,144.99569,-37.8573,Primary,Windsor Primary School,WINDSOR
,145.31692,-37.97859,Primary,Narre Warren North Primary School,NARRE  WARREN  NORTH
,148.18082,-37.49774,Primary,Buchan Primary School,BUCHAN
,144.25511,-37.91267,Primary,Anakie Primary School,Anakie
,144.42431,-38.17096,Primary,Moolap Primary School,MOOLAP
,144.90025,-37.8064,Primary,Footscray City Primary School,Footscray
,144.59476,-37.31215,Primary,Newham Primary School,NEWHAM
,145.07694,-37.66973,Primary,Plenty Parklands Primary School,MILL PARK
,144.30415,-36.72794,Primary,White Hills Primary School,WHITE HILLS
,144.10217,-37.62852,Primary,Mount Egerton Primary School,Mount Egerton
,145.85384,-38.13286,Primary,Drouin Primary School,DROUIN
,145.4306,-36.15066,Primary,Wunghnu Primary School,WUNGHNU
,142.85847,-37.4328,Primary,Maroona Primary School,MAROONA
,145.90113,-38.02762,Primary,Jindivick Primary School,JINDIVICK
,147.15915,-36.0658,Primary,Talgarno Primary School,TALGARNO
,144.0071,-37.55759,Primary,Bungaree Primary School,Bungaree
,144.50037,-37.96501,Primary,Little River Primary School,LITTLE RIVER
,146.69896,-38.0137,Primary,Cowwarr Primary School,COWWARR
,145.09467,-37.65287,Primary,Morang South Primary School,SOUTH MORANG
,144.27804,-36.75571,Primary,Camp Hill Primary School,BENDIGO
,144.85709,-37.11724,Primary,Pyalong Primary School,PYALONG
,143.98428,-38.24449,Primary,Winchelsea Primary School,WINCHELSEA
,145.93817,-38.09935,Primary,Buln Buln Primary School,BULN BULN
,143.85749,-37.55115,Primary,Macarthur Street Primary School,SOLDIERS HILL
,143.5837,-38.36135,Primary,Elliminyt Primary School,COLAC
,145.04309,-38.22181,Primary,Mornington Primary School,MORNINGTON
,141.99515,-37.72646,Primary,Hamilton North Primary School,HAMILTON
,143.78644,-37.42924,Primary,Mount Blowhard Primary School,BLOWHARD
,143.89082,-37.40884,Primary,Creswick North Primary School,CRESWICK
,143.86978,-37.54984,Primary,Black Hill Primary School,BALLARAT
,144.99611,-37.9221,Primary,Brighton Beach Primary School,BRIGHTON
,144.21899,-37.05783,Primary,Castlemaine North Primary School,CASTLEMAINE
,145.1331,-37.64124,Primary,Yarrambat Primary School,YARRAMBAT
,141.4052,-37.58655,Primary,Casterton Primary School,CASTERTON
,145.20589,-36.05752,Primary,Nathalia Primary School,NATHALIA
,144.34538,-38.15511,Primary,Chilwell Primary School,NEWTOWN
,145.1005,-37.70357,Primary,Greensborough Primary School,GREENSBOROUGH
,144.05459,-38.02923,Primary,Teesdale Primary School,TEESDALE
,145.28785,-38.11186,Primary,Cranbourne Primary School,CRANBOURNE
,145.6853,-36.07735,Primary,Katamatite Primary School,Katamatite
,143.17502,-37.36404,Primary,Buangor Primary School,BUANGOR
,144.30209,-35.90955,Primary,Leitchville Primary School,LEITCHVILLE
,145.11405,-37.51427,Primary,Whittlesea Primary School,WHITTLESEA
,143.89506,-37.5429,Primary,Little Bendigo Primary School,Nerrina
,143.83122,-37.56602,Primary,Newington Primary School,BALLARAT
,145.92814,-38.15634,Primary,Warragul Primary School,WARRAGUL
,145.21466,-37.69174,Primary,Kangaroo Ground Primary School,KANGAROO GROUND
,146.54015,-38.29726,Primary,Traralgon South Primary School,TRARALGON SOUTH
,141.68404,-37.60184,Primary,Coleraine Primary School,Coleraine
,145.75849,-38.20349,Primary,Ripplebrook Primary School,RIPPLEBROOK
,145.445,-36.09024,Primary,Numurkah Primary School,NUMURKAH
,146.26435,-38.17471,Primary,Moe (Albert Street) Primary School,MOE
,144.35857,-38.15694,Primary,Geelong South Primary School,GEELONG
,145.25936,-37.8433,Primary,Bayswater Primary School,BAYSWATER
,142.5841,-36.46271,Primary,Minyip Primary School,MINYIP
,145.19737,-37.93295,Primary,Mulgrave Primary School,MULGRAVE
,146.06096,-38.20937,Primary,Yarragon Primary School,YARRAGON
,146.47754,-38.14911,Primary,Tyers Primary School,TYERS
,146.15987,-38.21476,Primary,Trafalgar Primary School,TRAFALGAR
,145.35664,-37.52157,Primary,Kinglake Primary School,KINGLAKE
,145.93563,-38.24023,Primary,Ellinbank Primary School,ELLINBANK
,147.8452,-37.7662,Primary,Tambo Upper Primary School,BRUTHEN
,146.94812,-36.18053,Primary,Baranduda Primary School,BARANDUDA
,145.87947,-36.16131,Primary,Tungamah Primary School,TUNGAMAH
,145.71251,-38.09884,Primary,Bunyip Primary School,BUNYIP
,144.37232,-35.95463,Primary,Gunbower Primary School,GUNBOWER
,145.57401,-38.08277,Primary,Nar Nar Goon Primary School,NAR NAR GOON
,146.32799,-38.66352,Primary,Toora Primary School,TOORA
,145.34369,-37.8081,Primary,Montrose Primary School,MONTROSE
,144.12987,-35.63487,Primary,Koondrook Primary School,KOONDROOK
,143.84327,-37.61571,Primary,Magpie Primary School,Magpie
,147.14325,-36.6914,Primary,Tawonga Primary School,TAWONGA
,146.23163,-38.26158,Primary,Narracan Primary School,Narracan
,145.82682,-38.17057,Primary,Drouin South Primary School,DROUIN
,147.25125,-36.46527,Primary,Eskdale Primary School,ESKDALE
,145.9997,-38.18773,Primary,Darnum Primary School,DARNUM
,145.10517,-38.24809,Primary,Moorooduc Primary School,MOOROODUC
,145.30842,-37.84951,Primary,The Basin Primary School,THE BASIN
,147.7147,-37.91128,Primary,Paynesville Primary School,PAYNESVILLE
,144.31269,-36.70505,Primary,Epsom Primary School,EPSOM
,144.92762,-37.79267,Primary,Kensington Primary School,KENSINGTON
,146.44768,-38.26819,Primary,Hazelwood North Primary School,HAZELWOOD NORTH
,146.15109,-38.40049,Primary,Mirboo North Primary School,MIRBOO NORTH
,146.32891,-38.32109,Primary,Yinnar Primary School,YINNAR
,145.95536,-38.01531,Primary,Neerim South Primary School,NEERIM SOUTH
,145.04298,-37.76657,Primary,Ivanhoe Primary School,IVANHOE
,144.65498,-38.11552,Primary,Portarlington Primary School,PORTARLINGTON
,145.39427,-37.91735,Primary,Menzies Creek Primary School,MENZIES CREEK
,144.97779,-37.85812,Primary,St Kilda Park Primary School,ST KILDA
,145.80494,-38.03767,Primary,Labertouche Primary School,LABERTOUCHE
,144.70923,-37.62263,Primary,Diggers Rest Primary School,DIGGERS REST
,145.76914,-38.1141,Primary,Longwarry Primary School,LONGWARRY
,145.54532,-37.95164,Primary,Gembrook Primary School,Gembrook
,147.03995,-38.1068,Primary,Wurruk Primary School,WURRUK
,146.17734,-38.07139,Primary,Willow Grove Primary School,WILLOW GROVE
,145.59775,-37.83174,Primary,Hoddles Creek Primary School,HODDLES CREEK
,145.41476,-37.9954,Primary,Beaconsfield Upper Primary School,BEACONSFIELD UPPER
,145.43428,-36.29987,Primary,Congupna Primary School,CONGUPNA
,144.53089,-37.01952,Primary,Redesdale Mia Mia Primary School,REDESDALE
,145.03846,-37.87159,Primary,Malvern Primary School,MALVERN EAST
,145.57077,-37.7825,Primary,Launching Place Primary School,Launching Place
,144.96951,-37.80205,Primary,Carlton Gardens Primary School,CARLTON
,144.92612,-37.77432,Primary,Ascot Vale Primary School,ASCOT VALE
,146.26887,-38.38287,Primary,Boolarra Primary School,BOOLARRA
,144.909,-38.35576,Primary,Rosebud Primary School,ROSEBUD
,145.49286,-38.19483,Primary,Koo Wee Rup Primary School,KOO WEE RUP
,145.01777,-37.85219,Primary,Armadale Primary School,ARMADALE
,145.04091,-38.25711,Primary,Osborne Primary School,MOUNT MARTHA
,145.17914,-38.22402,Primary,Somerville Primary School,SOMERVILLE
,142.73946,-37.54469,Primary,Willaura Primary School,WILLAURA
,144.76111,-36.13405,Primary,Echuca East Primary School,ECHUCA
,147.99424,-37.87598,Primary,Lakes Entrance Primary School,LAKES ENTRANCE
,146.31825,-36.73819,Primary,Myrrhee Primary School,Myrrhee
,145.42206,-36.80793,Primary,Longwood Primary School,LONGWOOD
,143.71442,-38.51629,Primary,Forrest Primary School,FORREST
,145.0204,-37.77799,Primary,Fairfield Primary School,FAIRFIELD
,145.97429,-38.16574,Primary,Nilma Primary School,NILMA
,145.67415,-38.09056,Primary,Garfield Primary School,GARFIELD
,146.36481,-38.36891,Primary,Yinnar South Primary School,YINNAR SOUTH
,145.41018,-38.05828,Primary,Officer Primary School,OFFICER
,144.97254,-37.7787,Primary,Brunswick South Primary School,BRUNSWICK EAST
,148.45772,-37.70791,Primary,Orbost Primary School,ORBOST
,145.72862,-38.6312,Primary,Inverloch Primary School,INVERLOCH
,145.1009,-37.82553,Primary,Surrey Hills Primary School,SURREY HILLS
,145.47884,-35.92402,Primary,Strathmerton Primary School,STRATHMERTON
,142.32331,-36.94535,Primary,Laharum Primary School,LAHARUM
,147.73215,-35.96423,Primary,Walwa Primary School,WALWA
,144.95751,-37.8478,Primary,Middle Park Primary School,MIDDLE PARK
,145.46441,-37.77389,Primary,Seville Primary School,SEVILLE
,144.88539,-37.81475,Primary,Yarraville West Primary School,YARRAVILLE
,144.96648,-37.75505,Primary,Merri-bek Primary School,MORELAND
,146.2524,-38.11887,Primary,Tanjil South Primary School,TANJIL SOUTH
,142.60873,-37.19344,Primary,Pomonal Primary School,POMONAL
,144.99729,-37.89142,Primary,Elsternwick Primary School,BRIGHTON
,146.57134,-38.12758,Primary,Glengarry Primary School,GLENGARRY
,145.0545,-37.89074,Primary,Carnegie Primary School,CARNEGIE
,145.5694,-38.26317,Primary,Lang Lang Primary School,LANG LANG
,145.28132,-37.79317,Primary,Croydon Primary School,CROYDON
,144.90933,-37.76895,Primary,Moonee Ponds West Primary School,MOONEE PONDS
,145.19272,-37.80899,Primary,Mitcham Primary School,MITCHAM
,145.70295,-38.36862,Primary,Loch Primary School,LOCH
,142.16049,-34.19429,Primary,Mildura Primary School,MILDURA
,145.1567,-37.81657,Primary,Blackburn Primary School,BLACKBURN
,148.434,-37.73547,Primary,Newmerella Primary School,Newmerella
,144.93381,-37.83532,Primary,Port Melbourne Primary School,PORT MELBOURNE
,145.05048,-37.82028,Primary,Auburn Primary School,HAWTHORN EAST
,145.06797,-37.98295,Primary,Mentone Primary School,MENTONE
,144.9681,-37.7804,Primary,Princes Hill Primary School,CARLTON NORTH
,145.18357,-37.70292,Primary,Research Primary School,RESEARCH
,145.23198,-38.20301,Primary,Pearcedale Primary School,PEARCEDALE
,147.4339,-37.82694,Primary,Lindenow South Primary School,Lindenow South
,146.17879,-38.28846,Primary,Thorpdale Primary School,THORPDALE
,144.79577,-37.73875,Primary,St Albans Primary School,ST ALBANS
,145.95898,-38.47893,Primary,Leongatha Primary School,LEONGATHA
,141.98405,-36.14134,Primary,Jeparit Primary School,JEPARIT
,145.00991,-37.84508,Primary,Toorak Primary School,TOORAK
,145.18155,-38.19966,Primary,Baxter Primary School,BAXTER
,146.08442,-38.69475,Primary,Fish Creek and District Primary School,Fish Creek
,145.37164,-38.04863,Primary,Beaconsfield Primary School,BEACONSFIELD
,147.85246,-37.88296,Primary,Metung Primary School,METUNG
,145.35686,-38.51315,Primary,Newhaven Primary School,Newhaven
,142.51743,-37.13748,Primary,Halls Gap Primary School,HALLS GAP
,145.43632,-36.23861,Primary,Tallygaroopna Primary School,TALLYGAROOPNA
,145.03367,-37.907,Primary,Ormond Primary School,BENTLEIGH
,145.82564,-38.43513,Primary,Korumburra Primary School,KORUMBURRA
,145.20054,-38.36048,Primary,Crib Point Primary School,CRIB POINT
,144.93726,-37.73122,Primary,Pascoe Vale Primary School,PASCOE VALE
,145.29136,-37.31692,Primary,Flowerdale Primary School,FLOWERDALE
,144.52185,-38.26399,Primary,Ocean Grove Primary School,OCEAN GROVE
,142.41826,-35.94494,Primary,Beulah Primary School,BEULAH
,144.98739,-37.77697,Primary,Merri Creek Primary School,FITZROY NORTH
,144.83101,-37.79079,Primary,Sunshine Primary School,SUNSHINE
,145.16664,-38.26071,Primary,Tyabb Primary School,TYABB
,145.00883,-37.76151,Primary,Wales Street Primary School,THORNBURY
,147.1129,-36.35518,Primary,Upper Sandy Creek Primary School,HUON
,145.00388,-37.78679,Primary,Spensley Street Primary School,CLIFTON HILL
,145.04915,-37.79647,Primary,Kew East Primary School,Kew East
,142.20464,-34.2088,Primary,Nichols Point Primary School,NICHOLS POINT
,142.15908,-34.2266,Primary,Irymple Primary School,IRYMPLE
,144.98,-37.76527,Primary,Brunswick East Primary School,BRUNSWICK EAST
,147.68022,-37.89245,Primary,Eagle Point Primary School,EAGLE POINT
,145.60608,-37.77903,Primary,Yarra Junction Primary School,Yarra Junction
,145.35455,-37.86162,Primary,Sassafras Primary School,SASSAFRAS
,145.33473,-37.88421,Primary,Ferny Creek Primary School,Ferny Creek
,145.4725,-37.53537,Primary,Toolangi Primary School,TOOLANGI
,145.274,-37.73064,Primary,Wonga Park Primary School,WONGA PARK
,145.2596,-37.4813,Primary,Kinglake West Primary School,KINGLAKE WEST
,145.33341,-38.38338,Primary,Perseverance Primary School,CRIB POINT
,145.41026,-37.87685,Primary,Monbulk Primary School,MONBULK
,143.63207,-35.46451,Primary,Lake Boga Primary School,LAKE BOGA
,145.48925,-37.60596,Primary,Chum Creek Primary School,CHUM CREEK
,145.36217,-37.83074,Primary,Mount Dandenong Primary School,KALORAMA
,145.53324,-37.68134,Primary,Badger Creek Primary School,HEALESVILLE
,145.31568,-37.50521,Primary,Middle Kinglake Primary School,KINGLAKE CENTRAL
,144.62113,-38.27443,Primary,Point Lonsdale Primary School,POINT LONSDALE
,145.71286,-38.51511,Primary,Kongwak Primary School,INVERLOCH
,145.10292,-37.927,Primary,Clarinda Primary School,CLARINDA
,145.13806,-38.04502,Primary,Chelsea Heights Primary School,CHELSEA HEIGHTS
,144.50685,-38.21788,Primary,Wallington Primary School,WALLINGTON
,145.34492,-37.90696,Primary,Tecoma Primary School,TECOMA
,144.31231,-38.32177,Primary,Torquay P-6 College,TORQUAY
,145.44243,-37.93338,Primary,Emerald Primary School,Emerald
,145.1267,-38.07812,Primary,Carrum Primary School,SEAFORD
,145.67489,-38.33624,Primary,Nyora Primary School,NYORA
,144.55879,-37.74529,Primary,Exford Primary School,MELTON SOUTH
,143.26617,-35.47623,Primary,Ultima Primary School,ULTIMA
,145.12411,-37.88127,Primary,Mount Waverley Primary School,MOUNT WAVERLEY
,148.53504,-37.79627,Primary,Marlo Primary School,MARLO
,145.07041,-37.88617,Primary,Murrumbeena Primary School,MURRUMBEENA
,145.64707,-37.76869,Primary,Wesburn Primary School,YARRA JUNCTION
,142.08485,-34.27806,Primary,Koorlong Primary School,KOORLONG
,145.24698,-37.77435,Primary,Warranwood Primary School,Warranwood
,144.88823,-37.25942,Primary,Willowmavin Primary School,WILLOWMAVIN
,145.36619,-37.8547,Primary,Olinda Primary School,Olinda
,143.39503,-38.56393,Primary,Carlisle River Primary School,CARLISLE RIVER
,144.28446,-36.79318,Primary,Spring Gully Primary School,SPRING GULLY
,149.7543,-37.55943,Pri/Sec,Mallacoota P-12 College,MALLACOOTA
,145.18985,-38.16039,Primary,Langwarrin Primary School,LANGWARRIN
,145.49638,-37.93937,Primary,Cockatoo Primary School,Cockatoo
,145.1925,-38.26195,Primary,Tyabb Railway Station Primary School,TYABB
,145.35792,-37.9312,Primary,Belgrave South Primary School,UPWEY
,144.76233,-37.70205,Primary,Sydenham - Hillside Primary School,SYDENHAM
,145.08314,-37.83096,Primary,Canterbury Primary School,CANTERBURY
,142.09314,-34.20592,Primary,The Lake Primary School,CABARITA
,146.53712,-38.19305,Primary,Grey Street Primary School (Traralgon),TRARALGON
,144.95043,-37.75984,Primary,Brunswick North Primary School,BRUNSWICK WEST
,144.97476,-37.71524,Primary,Fawkner Primary School,FAWKNER
,145.03201,-37.78352,Primary,Alphington Primary School,ALPHINGTON
,145.95991,-38.21052,Primary,Bona Vista Primary School,BONA VISTA
,145.18791,-38.0946,Primary,Banyan Fields Primary School,CARRUM DOWNS
,145.04263,-37.69451,Primary,Norris Bank Primary School,BUNDOORA
,145.47537,-37.88979,Primary,Macclesfield Primary School,Macclesfield
,145.02165,-37.96987,Primary,Black Rock Primary School,BLACK ROCK
,145.38882,-37.79093,Primary,Mount Evelyn Primary School,MOUNT EVELYN
,145.31494,-37.80211,Primary,Kilsyth Primary School,KILSYTH
,145.58864,-38.60795,Primary,Wonthaggi Primary School,WONTHAGGI
,144.88174,-37.83045,Primary,Spotswood Primary School,Spotswood
,145.32639,-38.13232,Primary,Clyde Primary School,CLYDE
,145.17391,-37.97063,Primary,Noble Park Primary School,NOBLE PARK
,145.06136,-37.80837,Primary,Deepdene Primary School,DEEPDENE
,147.65939,-37.70208,Primary,Clifton Creek Primary School,Clifton Creek
,144.3075,-36.7688,Primary,Kennington Primary School,STRATHDALE
,145.42377,-38.1458,Primary,Cardinia Primary School,CARDINIA
,145.43072,-36.3572,Primary,Grahamvale Primary School,GRAHAMVALE
,142.19062,-34.25249,Primary,Irymple South Primary School,IRYMPLE
,145.04623,-37.89377,Primary,Glen Huntly Primary School,GLEN HUNTLY
,144.77804,-36.31297,Primary,Nanneella Estate Primary School,NANNEELLA
,145.21651,-37.85626,Primary,Wantirna Primary School,WANTIRNA
,145.60023,-38.59882,Primary,Wonthaggi North Primary School,WONTHAGGI
,144.57426,-37.70872,Primary,Melton South Primary School,MELTON SOUTH
,145.12231,-38.05489,Primary,Chelsea Primary School,CHELSEA
,145.00348,-37.93339,Primary,Hampton Primary School,Hampton
,144.41535,-37.79498,Primary,Balliang East Primary School,BALLIANG EAST
,145.11297,-38.03749,Primary,Edithvale Primary School,EDITHVALE
,145.44054,-36.41041,Primary,Orrvale Primary School,ORRVALE
,145.01427,-37.75452,Primary,Penders Grove Primary School,THORNBURY
,141.81405,-35.17057,Primary,Underbool Primary School,UNDERBOOL
,145.02156,-37.87211,Primary,Caulfield Junior College,CAULFIELD NORTH
,145.1305,-38.10444,Primary,Seaford Primary School,SEAFORD
,145.09737,-37.84264,Primary,Wattle Park Primary School,BURWOOD
,143.95075,-35.52884,Primary,Murrabit Group School,MURRABIT
,144.99553,-37.73737,Primary,Preston West Primary School,PRESTON
,144.99675,-37.75543,Primary,Thornbury Primary School,THORNBURY
,144.87527,-37.79487,Primary,Footscray West Primary School,WEST FOOTSCRAY
,145.40971,-37.76978,Primary,Wandin North Primary School,WANDIN NORTH
,145.01503,-37.90468,Primary,Gardenvale Primary School,BRIGHTON EAST
,145.03759,-37.98527,Primary,Beaumaris Primary School,Cromer
,145.70379,-36.38475,Primary,Currawa Primary School,Dookie Campus
,149.15302,-37.5697,Pri/Sec,Cann River P-12 College,CANN RIVER
,144.82274,-37.86771,Primary,Altona Primary School,ALTONA
,145.30138,-38.16203,Primary,Devon Meadows Primary School,DEVON MEADOWS
,145.31432,-37.8956,Primary,Upper Ferntree Gully Primary School,UPPER FERNTREE GULLY
,145.90676,-37.23397,Primary,Eildon Primary School,EILDON
,145.17168,-38.33986,Primary,Bittern Primary School,BITTERN
,144.80166,-36.58988,Primary,Colbinabbin Primary School,COLBINABBIN
,144.98802,-36.4481,Primary,Stanhope Primary School,STANHOPE
,145.19812,-37.6359,Primary,Hurstbridge Primary School,HURSTBRIDGE
,144.94762,-37.74715,Primary,Coburg West Primary School,COBURG
,144.98836,-37.8815,Primary,Elwood Primary School,ELWOOD
,145.10273,-37.81308,Primary,Mont Albert Primary School,MONT ALBERT
,145.23979,-36.5432,Primary,Dhurringile Primary School,DHURRINGILE
,145.27009,-37.54758,Primary,Strathewen Primary School,Strathewen
,145.58741,-37.7602,Primary,Don Valley Primary School,DON VALLEY
,145.00677,-37.71142,Primary,Reservoir Primary School,RESERVOIR
,146.36222,-38.16321,Primary,Yallourn North Primary School,YALLOURN NORTH
,148.05097,-37.85254,Primary,Toorloo Arm Primary School,LAKES ENTRANCE
,144.97376,-36.39811,Primary,Girgarre Primary School,GIRGARRE
,145.65099,-37.82025,Primary,Gladysdale Primary School,GLADYSDALE
,142.15239,-34.17973,Primary,Mildura West Primary School,MILDURA
,144.93299,-37.76334,Primary,Moonee Ponds Primary School,Moonee Ponds
,144.87466,-37.8126,Primary,Kingsville Primary School,YARRAVILLE
,145.37,-37.88509,Primary,Kallista Primary School,Kallista
,144.90319,-37.74152,Primary,Essendon North Primary School,Essendon North
,144.91112,-37.78068,Primary,Ascot Vale West Primary School,Ascot Vale
,145.08447,-37.84805,Primary,Hartwell Primary School,CAMBERWELL
,142.18531,-34.31157,Primary,Red Cliffs Primary School,RED CLIFFS
,145.18204,-37.66884,Primary,Wattle Glen Primary School,DIAMOND CREEK
,145.25289,-38.03041,Primary,Hampton Park Primary School,HAMPTON PARK
,143.57975,-38.33642,Primary,Colac West Primary School,Colac
,145.00505,-37.87461,Primary,Ripponlea Primary School,ST KILDA EAST
,145.1216,-37.71765,Primary,Montmorency Primary School,MONTMORENCY
,144.17557,-38.24139,Primary,Moriac Primary School,MORIAC
,145.23074,-37.79313,Primary,Ringwood North Primary School,RINGWOOD NORTH
,142.21427,-34.30511,Primary,Red Cliffs East Primary School,RED CLIFFS
,145.05611,-37.87242,Primary,Lloyd Street Primary School,MALVERN EAST
,145.29562,-37.8288,Primary,Bayswater North Primary School,BAYSWATER
,144.93548,-37.71629,Primary,Westbreen Primary School,Pascoe Vale
,144.72449,-37.8938,Pri/Sec,Point Cook Prep - Year 9 College,POINT COOK
,144.88337,-37.78775,Primary,Footscray North Primary School,WEST FOOTSCRAY
,147.1139,-38.02571,Primary,Airly Primary School,AIRLY
,145.06261,-37.8479,Primary,Camberwell South Primary School,GLEN IRIS
,145.0831,-37.99279,Primary,Parkdale Primary School,PARKDALE
,145.07764,-37.90584,Primary,Hughesdale Primary School,HUGHESDALE
,145.00556,-37.77647,Primary,Westgarth Primary School,NORTHCOTE
,145.04589,-37.83926,Primary,Auburn South Primary School,HAWTHORN EAST
,145.09976,-38.02027,Primary,Aspendale Primary School,Aspendale
,145.15087,-37.70011,Primary,Eltham North Primary School,ELTHAM NORTH
,142.45615,-38.37802,Primary,Merrivale Primary School,WARRNAMBOOL
,145.20042,-37.98074,Primary,Dandenong West Primary School,DANDENONG
,145.27223,-37.7664,Primary,Yarra Road Primary School,CROYDON NORTH
,144.89477,-37.75649,Primary,Aberfeldie Primary School,Essendon
,144.33292,-38.13597,Primary,Manifold Heights Primary School,MANIFOLD HEIGHTS
,147.88839,-37.86592,Primary,Nungurner Primary School,NUNGURNER
,145.1325,-37.9826,Primary,Dingley Primary School,DINGLEY VILLAGE
,142.14504,-34.28801,Primary,Cardross Primary School,CARDROSS
,144.81975,-37.77808,Primary,Albion Primary School,ALBION
,145.46246,-36.35805,Primary,Lemnos Primary School,LEMNOS
,145.86706,-38.70257,Primary,Tarwin Lower Primary School,TARWIN LOWER
,144.94352,-37.77058,Primary,Brunswick South West Primary School,BRUNSWICK WEST
,144.99061,-37.7477,Primary,Bell Primary School,PRESTON
,145.0916,-37.81765,Primary,Chatham Primary School,SURREY HILLS
,145.0308,-37.89525,Primary,Caulfield South Primary School,CAULFIELD SOUTH
,145.08362,-37.8622,Primary,Ashburton Primary School,ASHBURTON
,145.02677,-37.92059,Primary,Bentleigh West Primary School,BENTLEIGH
,147.17062,-38.35649,Primary,Seaspray Primary School,SEASPRAY
,144.19184,-38.39678,Primary,Anglesea Primary School,ANGLESEA
,145.11622,-37.70831,Primary,Briar Hill Primary School,BRIAR HILL
,145.40507,-36.2772,Primary,Zeerust Primary School,ZEERUST
,145.0528,-37.90805,Primary,McKinnon Primary School,ORMOND
,145.11644,-37.94048,Primary,Clayton South Primary School,CLAYTON SOUTH
,145.05945,-37.77459,Primary,Ivanhoe East Primary School,IVANHOE EAST
,147.13228,-38.07479,Primary,Cobains Primary School,COBAINS
,142.12679,-34.21348,Primary,Mildura South Primary School,MILDURA
,144.3792,-38.16605,Primary,Tate Street Primary School Geelong,GEELONG EAST
,144.94359,-37.75671,Primary,Brunswick North West Primary School,BRUNSWICK WEST
,145.56071,-36.22547,Primary,Katandra West Primary School,KATANDRA WEST
,145.3181,-38.0393,Primary,Fleetwood Primary School,NARRE WARREN
,145.02222,-37.95667,Primary,Sandringham East Primary School,SANDRINGHAM
,144.83991,-37.86421,Primary,Seaholme Primary School,ALTONA
,145.16461,-38.39212,Primary,Somers Primary School,SOMERS
,145.3328,-37.90287,Primary,Upwey Primary School,UPWEY
,144.95185,-37.73617,Primary,Coburg North Primary School,Coburg
,145.0629,-37.73539,Primary,Rosanna Primary School,ROSANNA
,145.23734,-37.87253,Primary,Wantirna South Primary School,WANTIRNA SOUTH
,144.917,-37.73551,Primary,Strathmore Primary School,STRATHMORE
,145.07704,-37.7967,Primary,Balwyn North Primary School,BALWYN NORTH
,145.07283,-37.87324,Primary,Solway Primary School,ASHBURTON
,146.30442,-36.35413,Primary,Wangaratta West Primary School,WANGARATTA
,147.17159,-36.7395,Primary,Mount Beauty Primary School,MOUNT BEAUTY
,144.98538,-37.73011,Primary,Newlands Primary School,East Coburg
,145.14575,-38.38878,Primary,Somers School Camp,SOMERS
,146.29279,-38.18858,Primary,Newborough Primary School,NEWBOROUGH
,146.52417,-38.18998,Primary,Traralgon (Stockdale Road) Primary School,TRARALGON
,145.39635,-36.3668,Primary,Gowrie Street Primary School Shepparton,SHEPPARTON
,144.85732,-38.36948,Primary,Tootgarook Primary School,RYE
,146.26006,-38.18319,Primary,Moe (South Street) Primary School,MOE
,144.32982,-38.17401,Primary,Roslyn Primary School,BELMONT
,144.86883,-37.84521,Primary,Newport Gardens Primary School,NEWPORT
,145.40574,-36.39009,Primary,St Georges Road Primary School Shepparton,SHEPPARTON
,145.08149,-37.8807,Primary,Malvern Valley Primary School,MALVERN EAST
,146.29376,-38.179,Primary,Newborough East Primary School,NEWBOROUGH
,144.33245,-38.12936,Primary,Herne Hill Primary School,HAMLYN HEIGHTS
,145.14553,-38.14663,Primary,Frankston East Primary School,KARINGAL CENTRE
,145.36752,-37.91143,Primary,Selby Primary School,Selby
,145.02184,-37.71998,Primary,Reservoir East Primary School,RESERVOIR
,145.04901,-37.93254,Primary,Tucker Road Bentleigh Primary School,MOORABBIN
,145.45561,-35.99856,Primary,Katunga Primary School,KATUNGA
,143.86281,-37.5401,Primary,Ballarat North Primary School,BALLARAT NORTH
,146.92714,-36.15296,Primary,Bandiana Primary School,BANDIANA MILPO
,145.09596,-37.80143,Primary,Greythorn Primary School,BALWYN NORTH
,145.93985,-38.14811,Primary,Warragul North Primary School,WARRAGUL
,142.17999,-36.71742,Primary,Horsham West and Haven Primary School,HORSHAM
,146.51536,-38.19927,Primary,Traralgon (Kosciuszko Street) Primary School,TRARALGON
,146.55149,-38.20155,Primary,Traralgon (Liddiard Road) Primary School,TRARALGON
,145.25295,-37.81724,Primary,Eastwood Primary School,RINGWOOD EAST
,144.93562,-37.74572,Primary,Pascoe Vale South Primary School,Pascoe Vale South
,145.02539,-37.67008,Primary,Lalor Primary School,LALOR
,144.99023,-37.72214,Primary,Reservoir West Primary School,RESERVOIR
,145.07363,-37.92008,Primary,Coatesville Primary School,BENTLEIGH EAST
,145.15251,-37.80757,Primary,Old Orchard Primary School,BLACKBURN NORTH
,145.10236,-37.91308,Primary,Huntingdale Primary School,OAKLEIGH SOUTH
,145.12331,-37.80079,Primary,Box Hill North Primary School,BOX HILL NORTH
,145.29942,-37.87479,Primary,Ferntree Gully North Primary School,FERNTREE GULLY
,142.921,-37.27736,Primary,Ararat West Primary School,ARARAT
,144.91504,-37.71553,Primary,Oak Park Primary School,Oak Park
